id,K,A,p,B,PmI,PMI,PdI,PdS,CSm,CSM,CSd
1,0.09,0.05,0.74,0.08,0.38,0.5,0.2,0.22,0.2,0.3,0.5
2,0.1,0.05,0.7,0.05,0.4,0.5,0.2,0.2,0.2,0.3,0.5
3,0.075,0.05,0.79,0.07,0.3,0.4,0.2,0.11,0.2,0.3,0.5
4,0.071,0.055,0.75,0.07,0.3,0.4,0.29,0.11,0.2,0.21,0.7
5,0.075,0.05,0.75,0.07,0.3,0.4,0.25,0.11,0.2,0.21,0.7
30,0.09,0.05,0.74,0.08,0.38,0.5,0.2,0.22,0.3,0.3,0.5
31,0.1,0.05,0.7,0.05,0.4,0.5,0.2,0.2,0.3,0.3,0.5
32,0.1,0.01,0.51,0.099,0.3,0.35,0.01,0.339,0.3,0.4,0.5
33,0.12,0.05,0.74,0.08,0.38,0.5,0.2,0.22,0.3,0.3,0.41
34,0.1,0.01,0.51,0.099,0.3,0.35,0.01,0.339,0.3,0.4,0.41
35,0.15,0.135,0.65,0.1,0.75,0.9,0.45,0.38,0.36,0.432,0.504